ID;Indonesia;Asia;Jakarta;IDR;Indonesian Rupiah;6 months;+62;+08:00;277329163;1916907;https://www.embassypages.com/finland#titlePlaceholder2;e-Arrival;https://link.travel-buddy.ai/?link=76E321T3;Visa on arrival;30 days;eVisa;30 days
US;United States of America;North America;Washington, D.C.;USD;US Dollar;6 months longer than the duration of stay;+1;-05:00;337341954;9834633;https://www.embassypages.com/finland#titlePlaceholder2;;;ESTA;90 days;;
HU;Hungary;Europe;Budapest;EUR;Euro;3 months longer than the duration of stay;+36;+01:00;9699577;93025;https://www.embassypages.com/finland#titlePlaceholder2;;;HU;Hungary;Europe;Budapest;EUR;Euro;3 months longer than the duration of stay;+36;+01:00;9699577;93025;https://www.embassypages.com/finland#titlePlaceholder2;;;Freedom of movement;;;
NI;Nicaragua;North America;Managua;NIO;Nicaraguan Córdoba;6 months;+505;-06:00;6301880;130373;https://www.embassypages.com/finland#titlePlaceholder2;;;Visa not required;90 days;;
GB;United Kingdom;Europe;London;GBP;Pound Sterling;6 months;+44;±00:00;67791400;242500;https://www.embassypages.com/finland#titlePlaceholder2;;;eTA;180 days;;
BR;Brazil;South America;Brasília;BRL;Brazilian Real;Valid for period of stay;+55;-03:00;218689757;8502728;https://www.embassypages.com/finland#titlePlaceholder2;;;Visa not required;90 days;;
RU;Russian Federation;Europe;Moscow;RUB;Russian Ruble;Valid on arrival;+7;+03:00;142021981;17075400;https://www.embassypages.com/finland#titlePlaceholder2;;;eVisa;30 days;;
ZA;South Africa;Africa;Pretoria;ZAR;South African Rand;1 month longer than the duration of stay;+27;+02:00;57516665;1220813;https://www.embassypages.com/finland#titlePlaceholder2;;;Visa not required;90 days;;
MX;Mexico;North America;Mexico City;MXN;Mexican Peso;Valid on arrival;+52;-06:00;129150971;1964375;https://www.embassypages.com/finland#titlePlaceholder2;;;Visa not required;180 days;;
JP;Japan;Asia;Tokyo;JPY;Japanese Yen;Valid on arrival;+81;+09:00;124214766;377974;https://www.embassypages.com/finland#titlePlaceholder2;Customs declaration;https://link.travel-buddy.ai/?link=86E331T3;Visa not required;90 days;;
AR;Argentina;South America;Buenos Aires;ARS;Argentine Peso;Valid on arrival;+54;-03:00;46621847;2791810;https://www.embassypages.com/finland#titlePlaceholder2;;;Visa not required;90 days;;
KR;South Korea;Asia;Seoul;KRW;South Korean Won;Valid on arrival;+82;+09:00;51844834;100222;https://www.embassypages.com/finland#titlePlaceholder2;;;Visa not required;90 days;;
SA;Saudi Arabia;Asia;Riyadh;SAR;Saudi Riyal;6 months;+966;+03:00;35354380;2149690;https://www.embassypages.com/finland#titlePlaceholder2;;;Visa on arrival;90 days;eVisa;90 days
IT;Italy;Europe;Rome;EUR;Euro;3 months longer than the duration of stay;+39;+01:00;61095551;302068;https://www.embassypages.com/finland#titlePlaceholder2;;;Freedom of movement;;;
SE;Sweden;Europe;Stockholm;SEK;Swedish Krona;3 months longer than the duration of stay;+46;+01:00;10483647;447425;https://www.embassypages.com/finland#titlePlaceholder2;;;Freedom of movement;;;
AU;Australia;Oceania;Canberra;AUD;Australian Dollar;Valid on arrival;+61;+10:00;26461166;7688126;https://www.embassypages.com/finland#titlePlaceholder2;;;eVisitors;90 days;;
ES;Spain;Europe;Madrid;EUR;Euro;3 months longer than the duration of stay;+34;+01:00;47163418;505983;https://www.embassypages.com/finland#titlePlaceholder2;;;Freedom of movement;;;
DE;Germany;Europe;Berlin;EUR;Euro;3 months longer than the duration of stay;+49;+01:00;84316622;357592;https://www.embassypages.com/finland#titlePlaceholder2;;;Freedom of movement;;;
CN;China;Asia;Beijing;CNY;Yuan;Valid for period of stay;+86;+08:00;1410539758;9572900;https://www.embassypages.com/finland#titlePlaceholder2;;;Visa not required;30 days;;
IN;India;Asia;Delhi;INR;Indian Rupee;Valid for period of stay;+91;+05:30;1389637446;3287469;https://www.embassypages.com/finland#titlePlaceholder2;e-Arrival;https://link.travel-buddy.ai/?link=79E434T3;eVisa;30 days;;
